"id","drive","acceleration","topspeed","electricrange","totalpower","totaltorque","batterycapacity","chargespeed","length","width","height","wheelbase","grossweight"
1647,"Rear",7.8,185,390,168,350,77.4,49,4515,1890,1580,2900,2495
1252,"Rear",5.7,190,470,250,430,83.9,54,4783,1852,1448,2856,2605
1327,"Front",9,135,135,70,220,23.8,59,3631,1683,1529,2322,1580
1667,"Rear",6.7,180,350,200,343,66,34,4270,1822,1636,2750,2213
1662,"Rear",7.3,185,390,168,350,77.4,49,4635,1890,1605,3000,2450
1522,"Front",11.7,135,200,100,260,50,28,4403,1921,1878,2785,2305
1546,"Front",11.7,135,200,100,260,50,28,4403,1921,1844,2785,2290
1721,"Front",12.1,130,180,100,260,50,25,4956,1920,1890,3275,2900
1535,"Rear",6.8,180,385,210,400,80,49,4734,1891,1668,2864,2725
1666,"Front",7.8,167,380,150,255,68,55,4420,1825,1570,2720,2200
1582,"Front",8.7,150,260,100,260,50,36,4118,1802,1534,2558,1975
1595,"Front",12.1,130,180,100,260,50,25,4956,1920,1890,3275,3015
1524,"Rear",7.9,200,335,132,410,69.9,48,4674,1919,1618,2804,2288
1596,"Front",12.1,130,175,100,260,50,24,5308,1920,1890,3275,3030
1592,"Front",7.4,160,335,170,330,69,47,4425,1873,1652,2702,2460
1584,"Front",8.5,150,255,100,260,50,36,4300,1770,1530,2605,2030
1587,"Front",9.7,150,265,100,260,50,37,4360,1800,1525,2670,2020
1610,"Front",12.1,130,175,100,260,50,24,5308,1920,1890,3275,3030
1698,"Front",8.6,160,375,140,385,73.9,50,4463,1834,1620,2729,2470
1351,"Front",13.1,130,180,100,260,50,25,4959,1920,1877,3275,3015
1423,"Front",7.9,167,395,150,395,67.5,58,4205,1800,1570,2600,2170
1669,"Rear",7,180,455,216,430,98.7,47,4713,1881,1624,2984,2605
1476,"Rear",8.5,185,295,125,350,58,51,4635,1890,1605,3000,2370
1240,"Front",12.1,160,305,150,362,100,32,5140,1928,1901,3200,3500
1342,"Front",12.1,130,175,100,260,50,24,5308,1920,1890,3275,2965
1605,"Front",13.1,130,180,100,260,50,25,4959,1920,1877,3275,3015
1697,"Front",8.6,160,355,140,385,69.7,50,4463,1834,1620,2729,2470
1608,"Front",14.3,130,260,100,260,75,24,5308,1920,1890,3275,3100
1422,"Front",9.9,155,250,100,395,42,39,4205,1800,1570,2600,2020
1285,"Front",9,150,235,87,220,42,59,3631,1683,1529,2322,1690
1606,"Front",13.1,130,175,100,260,50,24,5309,1920,1877,3275,3030
1410,"Front",12,132,225,85,270,43.5,32,4135,1750,1560,2490,1870
1657,"Front",6.9,157,340,160,340,62,32,4490,1788,1540,2700,2140
1514,"Front",13.1,130,265,100,260,75,25,4959,1920,1890,3275,3100
1541,"Front",8.4,175,365,115,280,72.6,34,4323,1809,1649,2581,2070
1655,"Front",7.4,160,330,170,330,69,46,4440,1873,1596,2702,2470
1588,"Front",10.5,150,365,96,250,60,110,4200,1768,1505,2685,2116
1723,"Front",12.1,130,175,100,260,50,24,5306,1920,1890,3275,2925
1540,"Front",8.6,175,270,130,280,51.1,31,4323,1809,1649,2581,2060
