class,cs_ds,co_op,credit_hours,work_hours
Senior,DS,Yes,17,12
Sophomore,CS,No,17,0
Senior,DS,No,17,15
Senior,CS,Yes,16,3
Junior,CS,No,16,0
Junior,CY,No,17,0
Junior,CS,Yes,12,5
Senior,DS,Yes,16,25
Senior,CS,Yes,12,8
Junior,CS,Yes,17,0
Junior,DS,No,18,0
Senior,DS,No,17,0
Junior,CS,Yes,16,5
Senior,CS,Yes,18,0
Senior,CS,Yes,16,12
Junior,CS,Yes,17,15
Senior,CS,No,16,0
Junior,DS,No,16,0
Senior,CS,Yes,18,10
Senior,CS,Yes,16,10
Junior,CS,No,17,10
Senior,CS,Yes,16,0
Junior,DS,No,16,20
Junior,CS,No,17,0
Junior,DS,Yes,17,20
Senior,DS,Yes,16,0
Sophomore,CS,No,18,0
